county,fips,description,pci,hu,munit,sngpnt,crowd,noveh,f_sngpnt,f_crowd,f_noveh
King,53033008100,"Census Tract 81, King County, Washington",75660,3579,3433,40,169,1561,0,0,1
King,53033008200,"Census Tract 82, King County, Washington",79082,3515,3423,0,192,1454,0,0,1
King,53033008300,"Census Tract 83, King County, Washington",62121,2280,2232,19,77,915,0,0,1
King,53033008400,"Census Tract 84, King County, Washington",60368,3793,3484,147,70,1413,0,0,1
King,53033008500,"Census Tract 85, King County, Washington",39505,2110,1946,55,49,860,0,0,1
King,53033008600,"Census Tract 86, King County, Washington",30667,2624,1879,37,53,650,0,0,1
King,53033008700,"Census Tract 87, King County, Washington",44355,2046,376,182,48,368,0,0,0
King,53033008800,"Census Tract 88, King County, Washington",58294,1736,167,68,0,159,0,0,0
King,53033008900,"Census Tract 89, King County, Washington",69003,2548,573,94,51,215,0,0,0
King,53033009000,"Census Tract 90, King County, Washington",39166,1966,1288,89,101,523,0,0,1
King,53033009100,"Census Tract 91, King County, Washington",38582,1788,1592,41,261,1008,0,1,1
King,53033009200,"Census Tract 92, King County, Washington",35801,2110,2097,0,156,1263,0,0,1
King,53033009300,"Census Tract 93, King County, Washington",59916,1280,764,50,75,136,0,0,0
King,53033009400,"Census Tract 94, King County, Washington",35926,3002,716,154,241,560,0,0,0
King,53033009500,"Census Tract 95, King County, Washington",62659,2848,496,249,34,313,0,0,0
King,53033009600,"Census Tract 96, King County, Washington",71990,3201,1132,70,28,216,0,0,0
King,53033009701,"Census Tract 97.01, King County, Washington",69251,3216,816,181,57,170,0,0,0
King,53033009702,"Census Tract 97.02, King County, Washington",59487,2443,95,96,0,61,0,0,0
King,53033009800,"Census Tract 98, King County, Washington",57414,3319,627,198,0,177,0,0,0
King,53033009900,"Census Tract 99, King County, Washington",50639,3180,1263,265,17,356,0,0,0
King,53033010001,"Census Tract 100.01, King County, Washington",32277,1772,458,196,145,393,0,0,1
King,53033010002,"Census Tract 100.02, King County, Washington",37355,1997,467,154,133,187,0,0,0
King,53033010100,"Census Tract 101, King County, Washington",40914,3326,713,264,225,492,0,0,0
King,53033010200,"Census Tract 102, King County, Washington",59510,2133,77,55,42,78,0,0,0
King,53033010300,"Census Tract 103, King County, Washington",39532,3017,837,274,184,334,0,0,0
King,53033010401,"Census Tract 104.01, King County, Washington",32644,1538,7,76,63,113,0,0,0
King,53033010402,"Census Tract 104.02, King County, Washington",32264,1829,41,156,110,184,0,0,0
King,53033010500,"Census Tract 105, King County, Washington",58767,4632,2313,134,28,734,0,0,0
King,53033010600,"Census Tract 106, King County, Washington",57493,4000,880,235,49,400,0,0,0
King,53033010701,"Census Tract 107.01, King County, Washington",33845,1644,320,122,81,289,0,0,0
King,53033010702,"Census Tract 107.02, King County, Washington",26052,1667,453,337,178,306,1,1,0
King,53033010800,"Census Tract 108, King County, Washington",40266,1936,106,131,44,194,0,0,0
King,53033010900,"Census Tract 109, King County, Washington",38862,708,89,17,0,106,0,0,0
King,53033011001,"Census Tract 110.01, King County, Washington",21010,1731,460,113,116,495,0,0,1
King,53033011002,"Census Tract 110.02, King County, Washington",21865,1404,10,131,94,149,0,0,0
King,53033011101,"Census Tract 111.01, King County, Washington",26162,2008,667,167,109,322,0,0,0
King,53033011102,"Census Tract 111.02, King County, Washington",46461,1719,370,55,187,102,0,1,0
King,53033011200,"Census Tract 112, King County, Washington",23848,1563,263,230,93,276,0,0,0
King,53033011300,"Census Tract 113, King County, Washington",32633,3083,862,200,35,398,0,0,0
King,53033011401,"Census Tract 114.01, King County, Washington",32837,1957,279,151,76,98,0,0,0
King,53033011402,"Census Tract 114.02, King County, Washington",29559,2062,675,269,96,454,0,0,1
King,53033011500,"Census Tract 115, King County, Washington",51003,2083,258,92,13,42,0,0,0
King,53033011600,"Census Tract 116, King County, Washington",64829,3266,212,180,12,220,0,0,0
King,53033011700,"Census Tract 117, King County, Washington",28417,1823,51,186,68,44,0,0,0
King,53033011800,"Census Tract 118, King County, Washington",26777,3217,685,386,290,335,0,1,0
King,53033011900,"Census Tract 119, King County, Washington",36991,2785,52,275,107,46,0,0,0
King,53033012000,"Census Tract 120, King County, Washington",54452,1602,21,44,7,36,0,0,0
King,53033012100,"Census Tract 121, King County, Washington",65608,1285,63,94,0,13,0,0,0
King,53033020100,"Census Tract 201, King County, Washington",61307,1312,111,32,3,15,0,0,0
King,53033020200,"Census Tract 202, King County, Washington",47558,2266,454,157,0,197,0,0,0
King,53033020300,"Census Tract 203, King County, Washington",35891,3253,1413,82,110,258,0,0,0
King,53033020401,"Census Tract 204.01, King County, Washington",34818,1518,222,127,33,61,0,0,0
King,53033020402,"Census Tract 204.02, King County, Washington",41834,2282,403,119,124,181,0,0,0
King,53033020500,"Census Tract 205, King County, Washington",35765,2918,728,195,38,263,0,0,0
King,53033020600,"Census Tract 206, King County, Washington",37627,1357,21,110,27,62,0,0,0
King,53033020700,"Census Tract 207, King County, Washington",37830,1508,489,155,72,244,0,0,0
King,53033020800,"Census Tract 208, King County, Washington",57980,1786,355,75,25,111,0,0,0
King,53033020900,"Census Tract 209, King County, Washington",48771,1511,325,73,31,58,0,0,0
King,53033021000,"Census Tract 210, King County, Washington",37398,2315,189,46,35,181,0,0,0
King,53033021100,"Census Tract 211, King County, Washington",34638,1606,221,145,84,100,0,0,0
King,53033021300,"Census Tract 213, King County, Washington",43564,1791,652,137,77,193,0,0,0
King,53033021400,"Census Tract 214, King County, Washington",52771,1450,0,68,0,0,0,0,0
King,53033021500,"Census Tract 215, King County, Washington",56988,1799,46,50,16,16,0,0,0
King,53033021600,"Census Tract 216, King County, Washington",51032,1974,254,154,37,48,0,0,0
King,53033021700,"Census Tract 217, King County, Washington",46482,3725,1413,154,37,237,0,0,0
King,53033021802,"Census Tract 218.02, King County, Washington",41165,2279,321,137,54,92,0,0,0
King,53033021803,"Census Tract 218.03, King County, Washington",46430,2201,538,187,102,45,0,0,0
King,53033021804,"Census Tract 218.04, King County, Washington",37613,2215,642,77,7,105,0,0,0
King,53033021903,"Census Tract 219.03, King County, Washington",41097,2664,845,108,54,116,0,0,0
King,53033021904,"Census Tract 219.04, King County, Washington",47957,1886,184,50,37,85,0,0,0
King,53033021905,"Census Tract 219.05, King County, Washington",43235,2293,313,242,35,53,0,0,0
King,53033021906,"Census Tract 219.06, King County, Washington",47605,1756,348,173,82,57,0,0,0
King,53033022001,"Census Tract 220.01, King County, Washington",50680,2405,784,168,76,429,0,0,0
King,53033022003,"Census Tract 220.03, King County, Washington",43947,1992,173,59,8,44,0,0,0
King,53033022005,"Census Tract 220.05, King County, Washington",49990,2271,335,120,65,137,0,0,0
King,53033022006,"Census Tract 220.06, King County, Washington",54418,1843,323,90,63,108,0,0,0
King,53033022101,"Census Tract 221.01, King County, Washington",53533,1918,203,119,15,72,0,0,0
King,53033022102,"Census Tract 221.02, King County, Washington",51943,2447,141,50,21,52,0,0,0
King,53033022201,"Census Tract 222.01, King County, Washington",45935,1761,229,69,15,61,0,0,0
King,53033022202,"Census Tract 222.02, King County, Washington",51206,3568,1134,93,53,107,0,0,0
King,53033022203,"Census Tract 222.03, King County, Washington",66919,1998,155,72,8,28,0,0,0
King,53033022300,"Census Tract 223, King County, Washington",81170,1134,0,15,10,0,0,0,0
King,53033022400,"Census Tract 224, King County, Washington",71283,4109,1239,160,17,257,0,0,0
King,53033022500,"Census Tract 225, King County, Washington",85887,4306,1589,209,34,265,0,0,0
King,53033022603,"Census Tract 226.03, King County, Washington",47863,2574,631,161,15,177,0,0,0
King,53033022604,"Census Tract 226.04, King County, Washington",59476,1913,89,85,60,23,0,0,0
King,53033022605,"Census Tract 226.05, King County, Washington",49307,2643,781,75,181,67,0,0,0
King,53033022606,"Census Tract 226.06, King County, Washington",56050,2417,423,31,148,89,0,0,0
King,53033022701,"Census Tract 227.01, King County, Washington",87146,1835,963,96,82,98,0,0,0
King,53033022702,"Census Tract 227.02, King County, Washington",69428,1484,184,8,9,33,0,0,0
King,53033022703,"Census Tract 227.03, King County, Washington",63909,935,53,45,23,22,0,0,0
King,53033022801,"Census Tract 228.01, King County, Washington",64594,4170,1893,134,199,440,0,0,0
King,53033022802,"Census Tract 228.02, King County, Washington",60855,2138,407,95,65,87,0,0,0
King,53033022803,"Census Tract 228.03, King County, Washington",60858,2655,1374,94,184,296,0,0,0
King,53033022901,"Census Tract 229.01, King County, Washington",61397,1065,0,54,32,0,0,0,0
King,53033022902,"Census Tract 229.02, King County, Washington",67983,2678,345,57,16,37,0,0,0
King,53033023000,"Census Tract 230, King County, Washington",59885,2229,291,64,107,108,0,0,0
