county,rate,lower95cl,upper95cl,visits,year,gender
Jefferson,,,,,2013,Female
Jefferson,,,,,2014,Female
Jefferson,4.891399541,2.618552505,7.862570237,14,2015,Female
Jefferson,4.822931531,2.69403532,7.561498139,16,2016,Female
Jefferson,3.896494049,1.875975896,6.64299178,11,2017,Female
Jefferson,4.427383853,2.274961746,7.284426002,13,2018,Female
Jefferson,,,,,2019,Female
Jefferson,3.972970136,2.036633644,6.545441048,13,2020,Female
Jefferson,6.107004466,3.304068937,8.909939995,20,2021,Female
Jefferson,4.560574495,2.433159366,7.345181658,14,2022,Female
Jefferson,5.758787253,3.115374646,9.200782288,14,2011,Male
Jefferson,7.260022824,4.29222832,10.99502288,18,2012,Male
Jefferson,6.616388159,3.862816681,10.09878882,18,2013,Male
Jefferson,4.350119551,2.209896711,7.202953739,12,2014,Male
Jefferson,4.116035834,2.023293512,6.939368874,11,2015,Male
Jefferson,9.184124588,5.651935484,12.71631369,27,2016,Male
Jefferson,4.35251064,2.268820618,7.103644596,13,2017,Male
Jefferson,8.21835123,4.838051193,11.59865127,24,2018,Male
Jefferson,5.65338235,3.14224774,8.889782505,15,2019,Male
Jefferson,4.780926663,2.580856222,7.647951293,14,2020,Male
Jefferson,5.18791945,2.903352322,8.124634929,16,2021,Male
Jefferson,5.006453985,2.712048917,7.992481114,14,2022,Male
Larimer,8.761257095,4.456379493,14.49684173,12,2011,Female
Larimer,6.478294426,3.191408367,10.90915894,11,2012,Female
Larimer,7.396889979,3.646397507,12.4514723,11,2013,Female
Larimer,,,,,2014,Female
Larimer,,,,,2015,Female
Larimer,8.130175065,4.324430922,13.11725779,14,2016,Female
Larimer,,,,,2017,Female
Larimer,7.538320872,4.165848007,11.894374,16,2018,Female
Larimer,5.886184652,2.854054857,9.997237694,11,2019,Female
Larimer,,,,,2020,Female
Larimer,7.594891145,4.229176035,11.92964218,16,2021,Female
Larimer,8.722896373,4.942401645,13.55961439,17,2022,Female
Larimer,,,,,2011,Male
Larimer,9.131385587,4.894047595,14.66821963,14,2012,Male
Larimer,,,,,2013,Male
Larimer,7.438016715,3.671623751,12.51153372,11,2014,Male
Larimer,15.9258013,9.759926053,22.09167655,27,2015,Male
Larimer,16.70173891,10.35661821,23.0468596,28,2016,Male
Larimer,9.862450561,5.57162545,15.35828632,16,2017,Male
Larimer,15.44067924,9.421001603,21.46035688,26,2018,Male
Larimer,12.20368298,6.866362758,17.5410032,21,2019,Male
Larimer,,,,,2020,Male
Larimer,7.503023585,4.118499508,11.88583623,15,2021,Male
