"","CensusTract","CaliforniaCounty","ZIP","Longitude","Latitude","ApproxLocation","CES4.0Score","CES4.0Percentile","CES4.0PercRange","Ozone","OzonePctl","PM2.5","PM2.5.Pctl","DieselPM","DieselPMPctl","DrinkingWater","DrinkingWaterPctl","Lead","LeadPctl","Pesticides","PesticidesPctl","ToxRelease","ToxReleasePctl","Traffic","TrafficPctl","CleanupSites","CleanupSitesPctl","GroundwaterThreats","GroundwaterThreatsPctl","HazWaste","HazWastePctl","ImpWaterBodies","ImpWaterBodiesPctl","SolidWaste","SolidWastePctl","PollutionBurden","PollutionBurdenScore","PollutionBurdenPctl","Asthma","AsthmaPctl","LowBirthWeight","LowBirthWeightPctl","CardiovascularDisease","CardiovascularDiseasePctl","TotalPop","ChildrenPercLess10","PopPerc10to64","ElderlyMore64","HispanicPerc","WhitePerc","AfAmericanPerc","NativeAmericanPerc","AsianAmericanPerc","OtherMultiplePerc","PopChar","PopCharScore","PopCharPctl","Education","EducationPctl","LinguisticIsol","LinguisticIsolPctl","Poverty","PovertyPctl","Unemployment","UnemploymentPctl","HousingBurden","HousingBurdenPctl"
"1345",6037123303,"Los Angeles",91605,-118.4116037,34.1972751,"Los Angeles",65.23,97.89,"95-100% (highest scores)",0.062,88.7,11.56904887,62.6,0.224,66.04,726.64,83.13,69.88,78.99,0,0,1019.091014,64.02,1078.155377,62.84,36,91.04,20,68.42,0.555,72.71,4,43.78,1,35.72,62.97,7.69,94.11,67.5,76.73,5.95,74.22,18.57,82.9,3087,10.33,77.91,11.76,57.11,33.3,1.62,0,5.25,2.72,81.78,8.48,94.33,27.4,76.79,24.1,91.46,44.7,75.72,10.1,86.75,36.9,97.34
"1346",6037123304,"Los Angeles",91605,-118.4060882,34.1965389,"Los Angeles",59.67,95.5,"95-100% (highest scores)",0.062,88.7,11.52481034,61.34,0.292,75.46,726.64,83.13,66.76,75.09,0,0,962.088979,63.05,2529.147605,92.88,36.5,91.68,35.8,83.55,0.51,70.07,4,43.78,2,52.9,67.77,8.27,97.36,48.94,55.07,5.61,67.17,13.53,57.54,4362,9.31,68.52,22.17,45.37,44.66,1.26,0,6.63,2.09,69.52,7.21,79.49,18.8,62.68,29.2,95.29,45.6,76.98,7.3,69.98,30.1,90.67
"1347",6037123410,"Los Angeles",91605,-118.4214325,34.1993793,"Los Angeles",50.82,88.69,"85-90%",0.062,88.7,11.59401635,63.16,0.198,61.72,726.64,83.13,66.49,74.67,0,0,900.3736877,62.22,1125.454334,65.33,38,92.76,22.5,71.69,0.58,73.61,4,43.78,0.2,9.67,61.01,7.45,92.13,49.57,55.93,4.83,47.59,13.58,57.89,4181,10.17,81.68,8.16,54.01,37.86,2.13,0,5.84,0.17,65.77,6.82,74.18,28.3,77.99,27.1,94.03,43.8,74.46,5,44.35,38.1,97.85
"1348",6037123420,"Los Angeles",91606,-118.4146718,34.193033,"Los Angeles",48.21,85.75,"85-90%",0.061,84.58,11.56904887,62.6,0.127,45.07,726.64,83.13,73.87,83.43,0,0,953.4429929,62.92,1129.298025,65.48,36.4,91.43,16,61.55,0.69,77.86,4,43.78,0.5,22.08,60.38,7.37,91.5,52.18,59.11,3.85,23.06,14.4,62.84,4408,13.93,75.48,10.59,54.4,34.62,4.61,0,6.37,0,63.04,6.54,70.22,24.3,71.88,23.4,90.7,49.3,80.95,5.3,48.26,36.1,96.92
"1349",6037123510,"Los Angeles",91405,-118.4290714,34.1953384,"Los Angeles",40.37,75.63,"75-80%",0.062,88.7,11.59401635,63.16,0.115,42.03,726.64,83.13,59.18,64.74,0,0,864.6286825,61.62,983.484226,56.85,37,92.29,15,59.6,0.255,43.65,4,43.78,0,0,54.31,6.63,80.93,38.08,38.14,5.54,65.36,9.42,24.73,4795,8.91,75.39,15.7,48.99,35.79,3.32,0.31,6.01,5.59,58.69,6.09,63.48,24.1,71.55,29.2,95.29,44,74.7,5.4,49.86,25.6,81.84
"1350",6037123520,"Los Angeles",91401,-118.423608,34.1884912,"Los Angeles",42.98,79.46,"75-80%",0.062,88.7,11.57827864,62.78,0.071,26.32,726.64,83.13,71.18,80.49,0,0,938.5003458,62.75,1034.154566,60.21,36,91.04,1,6.97,0.26,44.73,4,43.78,0,0,51.13,6.24,73.11,51.63,58.59,4.19,31.08,15.16,67.21,2816,13.1,76.21,10.69,58.17,38.42,0.18,0,1.81,1.42,66.36,6.88,74.89,23.8,71.08,19.8,86.3,49.6,81.21,12.5,93.3,21.9,70.23
"1351",6037123601,"Los Angeles",91401,-118.4162038,34.1774941,"Los Angeles",31.98,62.38,"60-65%",0.06,82.63,11.5711356,62.64,0.27,73.17,726.64,83.13,55.37,59.33,0,0,1021.017649,64.07,902.9029108,51.76,9,58.17,0,0,0.46,66.6,4,43.78,0,0,50.96,6.22,72.71,42.99,46.16,2.69,5.95,12.78,52.62,4803,8.47,75.99,15.53,35.27,53.82,5.85,0,2.46,2.6,49.54,5.14,49.53,19.6,64.1,17,81.35,37.4,65.28,6.2,59.38,17.3,50.72
"1352",6037123602,"Los Angeles",91401,-118.4263255,34.1812199,"Los Angeles",38.63,73.05,"70-75%",0.061,84.58,11.64810526,64.37,0.086,32.15,726.64,83.13,67.61,75.99,0,0,993.8930257,63.49,1008.392548,58.44,36,91.04,0,0,0.25,43.3,4,43.78,0,0,50.39,6.15,71.38,63.43,72.87,3.51,16.37,19.24,85.07,3659,7.6,76,16.4,34.49,52.42,7.13,0,4.37,1.59,60.52,6.28,66.26,17.1,60,7.3,50.01,36.6,64.03,5.7,53.89,28,86.79
"1353",6037123700,"Los Angeles",91606,-118.4095169,34.1848596,"Los Angeles",39.55,74.22,"70-75%",0.061,84.58,11.54238267,61.9,0.141,48.91,726.64,83.13,51.21,53.12,0,0,999.4360046,63.63,1376.766432,74.74,36.2,91.23,0.75,4.42,0.175,30.17,4,43.78,0.2,9.67,51.12,6.24,73.07,56.06,64.06,4.47,37.88,16.35,73.11,4435,7.55,75.78,16.66,30.64,59.41,4.69,0.56,2.25,2.44,61.08,6.34,67.26,21.9,68.03,18.2,83.84,33.3,59.08,3.8,28.2,24.9,79.91
"1354",6037123800,"Los Angeles",91606,-118.4014361,34.1797368,"Los Angeles",40.88,76.41,"75-80%",0.06,82.63,11.49534692,60.71,0.177,57.82,726.64,83.13,50.43,52.22,0,0,1034.27535,64.29,2509.978931,92.71,36.5,91.68,3,22.12,0.05,7.35,4,43.78,0.2,9.67,52.77,6.44,77.51,40.88,42.88,6.88,88.72,14.46,63.16,6018,9.39,77.42,13.19,25.79,62.99,6.13,0.32,3.36,1.41,61.17,6.35,67.44,12.8,50.24,10.6,64.14,32.5,57.79,3.9,29.41,27.3,85.5
